name,website,address,lat,lng
3 Points Urban Brewery,https://3pointsbeer.com/,"331 E 13th St, Cincinnati, OH 45202",39.110187,-84.508661
Rhinegeist Brewery,https://rhinegeist.com/,"1910 Elm St, Cincinnati, OH 45202",39.117219,-84.520021
Christian Moerlein Brewing Co.,https://christianmoerlein.com/,"1621 Moore St, Cincinnati, OH 45202",39.113937,-84.514938
Taft's Ale House,https://taftsbeer.com/,"1429 Race St, Cincinnati, OH 45202",39.111322,-84.517401
The Woodburn Brewery,http://www.woodburnbrewery.com/,"2800 Woodburn Ave, Cincinnati, OH 45206",39.128957,-84.476906
Urban Artifact,http://www.artifactbeer.com/,"1660 Blue Rock St, Cincinnati, OH 45223",39.160667,-84.541983
Listermann Brewing Company,https://listermannbrewing.com/,"1621 Dana Ave, Cincinnati, OH 45207",39.146294,-84.472424
MadTree Brewing,www.madtreebrewing.com,"3301 Madison Rd, Cincinnati, OH 45209",39.156353,-84.424367
Braxton Brewing Company,www.braxtonbrewing.com,"27 W 7th St, Covington, KY 41011",39.082924,-84.510888
Fifty West Brewing Company,https://fiftywestbrew.com/,"7668 Wooster Pike, Cincinnati, OH 45227",39.13943,-84.353825
